time,time_local,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-06-06 22:00:00,2021-06-07 00:00:00,19.1,10.9,59,0,,5,5.5,14.8,1020.4,,2
2021-06-06 23:00:00,2021-06-07 01:00:00,17.9,10.5,62,0,,4,5.5,14.8,1020.6,,2
2021-06-07 00:00:00,2021-06-07 02:00:00,16.7,10.3,66,0,,360,5.5,13,1020.7,,2
2021-06-07 01:00:00,2021-06-07 03:00:00,15.8,9.9,68,0,,356,5.5,13,1020.7,,2
2021-06-07 02:00:00,2021-06-07 04:00:00,14.9,9.9,72,0,,358,5.5,13,1020.7,,2
2021-06-07 03:00:00,2021-06-07 05:00:00,14.5,9.5,72,0,,350,5.5,11.1,1020.8,,2
2021-06-07 04:00:00,2021-06-07 06:00:00,14.3,9.5,73,0,,332,5.5,11.1,1021.2,,2
2021-06-07 05:00:00,2021-06-07 07:00:00,15.5,9.4,67,0,,338,7.4,14.8,1021.3,,2
2021-06-07 06:00:00,2021-06-07 08:00:00,17,9.7,62,0,,331,7.4,14.8,1021.4,,2
2021-06-07 07:00:00,2021-06-07 09:00:00,18.6,9.1,54,0,,325,9.3,16.7,1021.4,,2
2021-06-07 08:00:00,2021-06-07 10:00:00,20.2,8.8,48,0,,319,11.1,20.4,1021.5,,2
2021-06-07 09:00:00,2021-06-07 11:00:00,21.8,9,44,0,,316,11.1,22.2,1021.4,,2
2021-06-07 10:00:00,2021-06-07 12:00:00,22.8,7.7,38,0,,320,11.1,24.1,1021.6,,2
2021-06-07 11:00:00,2021-06-07 13:00:00,23.8,7.4,35,0,,321,13,25.9,1021.3,,2
2021-06-07 12:00:00,2021-06-07 14:00:00,24.6,7.3,33,0,,318,13,27.8,1021.2,,2
2021-06-07 13:00:00,2021-06-07 15:00:00,25.2,7.3,32,0,,323,13,27.8,1020.7,,2
2021-06-07 14:00:00,2021-06-07 16:00:00,25.7,7.8,32,0,,327,13,27.8,1020.3,,2
2021-06-07 15:00:00,2021-06-07 17:00:00,25.9,7.9,32,0,,326,13,27.8,1020,,2
2021-06-07 16:00:00,2021-06-07 18:00:00,25.8,7.4,31,0,,331,13,25.9,1019.9,,2
2021-06-07 17:00:00,2021-06-07 19:00:00,25.1,7.7,33,0,,330,11.1,25.9,1019.7,,2
2021-06-07 18:00:00,2021-06-07 20:00:00,24.2,8.2,36,0,,335,11.1,24.1,1019.7,,2
2021-06-07 19:00:00,2021-06-07 21:00:00,23,8.7,40,0,,339,9.3,22.2,1020,,2
2021-06-07 20:00:00,2021-06-07 22:00:00,21.7,9.6,46,0,,346,9.3,18.5,1020.4,,2
2021-06-07 21:00:00,2021-06-07 23:00:00,20.3,10.1,52,0,,352,7.4,16.7,1020.9,,2
2021-06-07 22:00:00,2021-06-08 00:00:00,19.1,10.4,57,0,,357,7.4,14.8,1021.1,,2
2021-06-07 23:00:00,2021-06-08 01:00:00,18,10.6,62,0,,357,5.5,13,1021.2,,2
2021-06-08 00:00:00,2021-06-08 02:00:00,17,10.1,64,0,,357,5.5,11.1,1021.2,,2
2021-06-08 01:00:00,2021-06-08 03:00:00,16.2,10.3,68,0,,350,5.5,11.1,1021.1,,2
2021-06-08 02:00:00,2021-06-08 04:00:00,15.5,10.5,72,0,,345,5.5,13,1021.2,,2
2021-06-08 03:00:00,2021-06-08 05:00:00,15.2,11,76,0,,342,5.5,11.1,1021.3,,2
2021-06-08 04:00:00,2021-06-08 06:00:00,15.2,11.6,79,0,,332,5.5,11.1,1021.6,,2
2021-06-08 05:00:00,2021-06-08 07:00:00,16.6,11.9,74,0,,344,5.5,13,1021.7,,2
2021-06-08 06:00:00,2021-06-08 08:00:00,18.2,12.4,69,0,,351,7.4,13,1021.8,,2
2021-06-08 07:00:00,2021-06-08 09:00:00,19.9,12.4,62,0,,350,9.3,14.8,1021.9,,2
2021-06-08 08:00:00,2021-06-08 10:00:00,21.6,12.4,56,0,,349,9.3,18.5,1021.9,,2
2021-06-08 09:00:00,2021-06-08 11:00:00,22.9,11.9,50,0,,348,11.1,20.4,1021.9,,2
2021-06-08 10:00:00,2021-06-08 12:00:00,23.8,11.8,47,0,,347,11.1,24.1,1022,,2
